20260219T,601.07,605.87,608.08,0,3
20260220T,602.45,603.62,605.96,0.0,1
20260223T,600.07,603.66,607.75,609.03,1
20260224T,601.03,608.72,0.0,0.0,1
20260225T,601.33,607.66,0.0,0.0,1
20260302T,606.34,607.38,609.32,0.0,1
20260303T,604.35,605.36,607.77,0.0,1
20260304T,594.04,596.32,601.68,608.32,1
20260309T,600.05,603.58,609.14,0.0,1
20260310T,598.63,600.0,607.84,0.0,1
20260311T,607.8,608.96,611.51,0.0,1
20260330T,562.74,566.91,569.07,573.71,1
20260331T,558.29,562.64,563.97,0.0,1
20260401T,558.3,567.01,575.39,577.33,1
20260414T,602.67,611.19,613.82,617.43,1
20260415T,617.49,622.08,624.26,628.6,1
20260416T,628.63,632.4,633.52,637.41,1
